name,price,image,speed,ram_type,modules,capacity,first_word_latency,cas_latency,price_gb,color,rating
Corsair Vengeance RGB 32 GB,372.99,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,12 ns,36,£11.656,Black,4.5
Corsair Vengeance 32 GB,362.99,https://cdna.pcpartpicker.com/static/forever/images/product/2bd00f9c70e64226475ef438ba030157.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,12 ns,36,£11.343,Black,4.5
Silicon Power GAMING 16 GB,111.97,https://cdna.pcpartpicker.com/static/forever/images/product/62a4ba196f5f165e68619a63ef5d0b70.256p.jpg,DDR4-3200,DDR4,2 x 8GB,16GB,10 ns,16,£6.998,Black / Gray,4.5
Corsair Vengeance LPX 32 GB,235.02,https://cdna.pcpartpicker.com/static/forever/images/product/ae9c14173c768f2fa9ad4d3c957e94a0.256p.jpg,DDR4-3200,DDR4,2 x 16GB,32GB,10 ns,16,£7.344,Black / Yellow,4.5
Patriot Viper Elite 5 16 GB,259.77,https://cdna.pcpartpicker.com/static/forever/images/product/982b9428595cdc64d19a034fcf0b7d3b.256p.jpg,DDR5-6000,DDR5,1 x 16GB,16GB,10 ns,30,£16.236,White,4.5
Corsair Vengeance RGB 16 GB,208.99,https://cdna.pcpartpicker.com/static/forever/images/product/9c711c2e20ef4adac880e44fe9fc13fe.256p.jpg,DDR5-5200,DDR5,2 x 8GB,16GB,15.385 ns,40,£13.062,Black / Gray,3.5
Silicon Power Value Gaming 32 GB,,,DDR5-6000,DDR5,2 x 16GB,32GB,10 ns,30,,Black,4.5
Crucial Pro 32 GB,399.95,https://cdna.pcpartpicker.com/static/forever/images/product/749157446fcdcc5fe5abbb0e8d37ed08.256p.jpg,DDR5-6400,DDR5,2 x 16GB,32GB,11.875 ns,38,£12.498,Black,4
G.Skill Ripjaws V 16 GB,116.58,https://cdna.pcpartpicker.com/static/forever/images/product/c75eee87606a7ee1b5f90816fc5a16ea.256p.jpg,DDR4-3200,DDR4,2 x 8GB,16GB,10 ns,16,£7.286,Black,4.5
G.Skill Flare X5 16 GB,254.74,https://cdna.pcpartpicker.com/static/forever/images/product/35f2de12019955da5181b343ea10f7f8.256p.jpg,DDR5-6000,DDR5,1 x 16GB,16GB,12 ns,36,£15.921,Black,4
Kingston FURY Beast RGB 16 GB,220.94,https://cdna.pcpartpicker.com/static/forever/images/product/6fcbee8fe66fd26e7f295b32b7fcdcba.256p.jpg,DDR5-6000,DDR5,2 x 8GB,16GB,12 ns,36,£13.809,Black,4.5
Patriot Viper Venom 32 GB,369.99,https://cdna.pcpartpicker.com/static/forever/images/product/82182136c557a8b9975e956b58a558fa.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,12 ns,36,£11.562,Black / White,4.5
Corsair Vengeance RGB 64 GB,1178.99,https://cdna.pcpartpicker.com/static/forever/images/product/5cdd0dfcd25374317a12808fa7f63c19.256p.jpg,DDR5-6000,DDR5,2 x 32GB,64GB,10 ns,30,£18.422,Black,4.5
TEAMGROUP T-Force Delta RGB 16 GB,273.7,https://cdna.pcpartpicker.com/static/forever/images/product/12d937d90590710d44e87577e35c530f.256p.jpg,DDR5-6000,DDR5,2 x 8GB,16GB,12.667 ns,38,£17.106,White,5
G.Skill Flare X5 32 GB,469.99,https://cdna.pcpartpicker.com/static/forever/images/product/5bfb04d855b1e501d71ef7516d5c39f7.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,12 ns,36,£14.687,Black,4.5
TEAMGROUP T-Force Vulcan 16 GB,255.24,https://cdna.pcpartpicker.com/static/forever/images/product/b4f07141b6924fe51915a886aa19e17f.256p.jpg,DDR5-6000,DDR5,2 x 8GB,16GB,12.667 ns,38,£15.953,Black,0
Corsair Vengeance LPX 16 GB,159.99,https://cdna.pcpartpicker.com/static/forever/images/product/835ab3efad1be13bbe53beef3e3c6f96.256p.jpg,DDR4-3200,DDR4,2 x 8GB,16GB,10 ns,16,£9.999,Black / Yellow,4.5
V-Color Manta XSky RGB 32 GB,319.99,https://cdna.pcpartpicker.com/static/forever/images/product/fa0cd80242e6e332c869f025712550e9.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,10 ns,30,£10.000,Black,4.5
G.Skill Trident Z5 Neo RGB 64 GB,1257.06,https://cdna.pcpartpicker.com/static/forever/images/product/fa05a92bf5e27cd0ba94bb8372db2419.256p.jpg,DDR5-6000,DDR5,2 x 32GB,64GB,10 ns,30,£19.642,Black / Silver,4.5
TEAMGROUP T-Create Expert 32 GB,438.02,https://cdna.pcpartpicker.com/static/forever/images/product/2c9317b4dcb464d73e70e97728b95918.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,12.667 ns,38,£13.688,White,5
Silicon Power GAMING 32 GB,325.04,,DDR4-3200,DDR4,2 x 16GB,32GB,10 ns,16,£10.158,Black,4
G.Skill Trident Z5 Neo RGB 32 GB,601.3,https://cdna.pcpartpicker.com/static/forever/images/product/a4cecff25f58230f3fbae1903d711e49.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,10 ns,30,£18.791,Black,4.5
G.Skill Ripjaws V 32 GB,230.74,https://cdna.pcpartpicker.com/static/forever/images/product/f97fce0b44ff2447a790b0bffc74f9f3.256p.jpg,DDR4-3200,DDR4,2 x 16GB,32GB,10 ns,16,£7.211,Black,4.5
Kingston Server Premier 64 GB,910.29,https://cdna.pcpartpicker.com/static/forever/images/product/d38916830c5255ceb6a5472d2d835784.256p.jpg,DDR4-3200,DDR4,1 x 64GB,64GB,13.75 ns,22,£14.223,,0
Kingston FURY Beast 32 GB,414.94,https://cdna.pcpartpicker.com/static/forever/images/product/ba87b0c925c292d22dca488e2296d258.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,10 ns,30,£12.967,Black,4.5
Corsair Vengeance RGB Pro 32 GB,294.3,https://cdna.pcpartpicker.com/static/forever/images/product/e508c7c5a301831579045f9fda179aac.256p.jpg,DDR4-3200,DDR4,2 x 16GB,32GB,10 ns,16,£9.197,Black,4.5
TEAMGROUP T-Force Delta RGB 32 GB,389.99,https://cdna.pcpartpicker.com/static/forever/images/product/09e373465295e5629efd7959a7147a3b.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,10 ns,30,£12.187,White,4.5
Silicon Power XPOWER Zenith Gaming 32 GB,318.97,https://cdna.pcpartpicker.com/static/forever/images/product/2bc330026ad535ebdcc6140cde0f946f.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,12 ns,36,£9.968,Black,0
Silicon Power SP016GBLFU320B22 16 GB,106.97,,DDR4-3200,DDR4,2 x 8GB,16GB,13.75 ns,22,£6.686,,4.5
G.Skill Trident Z5 RGB 128 GB,3397.3,https://cdna.pcpartpicker.com/static/forever/images/product/77f8bc61316a59e20a54800382cd18af.256p.jpg,DDR5-6400,DDR5,2 x 64GB,128GB,11.25 ns,36,£26.541,Black,0
Crucial Pro Overclocking 32 GB,368.51,https://cdna.pcpartpicker.com/static/forever/images/product/9fdbfba897aab27f8669458508239fe1.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,12 ns,36,£11.516,Black,4.5
Corsair Vengeance 16 GB,199.99,https://cdna.pcpartpicker.com/static/forever/images/product/48231baef36e5ba902a1dbb94c21b6d1.256p.jpg,DDR5-5200,DDR5,2 x 8GB,16GB,15.385 ns,40,£12.499,Gray,0
Patriot Viper Venom 16 GB,199.94,https://cdna.pcpartpicker.com/static/forever/images/product/766c18ad6210bf330ebd5708e6d6081b.256p.jpg,DDR5-6000,DDR5,1 x 16GB,16GB,10 ns,30,£12.496,Black / White,4.5
G.Skill Trident Z RGB 16 GB,169.74,https://cdna.pcpartpicker.com/static/forever/images/product/d19422479fca6e5117bb55db3d25eac2.256p.jpg,DDR4-3600,DDR4,2 x 8GB,16GB,10 ns,18,£10.609,Black,4.5
TEAMGROUP T-Force Vulcan Z 16 GB,128.99,https://cdna.pcpartpicker.com/static/forever/images/product/96753a64597c28e46bf80ef7064b214b.256p.jpg,DDR4-3200,DDR4,2 x 8GB,16GB,10 ns,16,£8.062,Black,4.5
Kingston FURY Beast RGB 32 GB,458.99,https://cdna.pcpartpicker.com/static/forever/images/product/54ddbd8a23594ec6f8f120d748c9e559.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,10 ns,30,£14.343,Black,4.5
Corsair Vengeance RGB Pro 16 GB,120.29,https://cdna.pcpartpicker.com/static/forever/images/product/87cd8e9d02ffb0997769f4a4d5969669.256p.jpg,DDR4-3200,DDR4,2 x 8GB,16GB,10 ns,16,£7.518,Black,4.5
Corsair Vengeance 64 GB,765.46,https://cdna.pcpartpicker.com/static/forever/images/product/44511eed6b609f1979ca94fe5ed2e2ad.256p.jpg,DDR5-5200,DDR5,2 x 32GB,64GB,15.385 ns,40,£11.960,Black,4.5
Patriot Viper Elite 5 32 GB,402.75,https://cdna.pcpartpicker.com/static/forever/images/product/57f82fbdb9d5b94c4a14be5f44f30427.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,10 ns,30,£12.586,White,5
Kingston FURY Beast 16 GB,259.99,https://cdna.pcpartpicker.com/static/forever/images/product/ba87b0c925c292d22dca488e2296d258.256p.jpg,DDR5-6000,DDR5,2 x 8GB,16GB,10 ns,30,£16.249,Black,4.5
Kingston FURY Beast 8 GB,78.08,https://cdna.pcpartpicker.com/static/forever/images/product/cbff70f75b5d67c6c28fce5086628059.256p.jpg,DDR4-3200,DDR4,1 x 8GB,8GB,10 ns,16,£9.760,Black,0
TEAMGROUP T-Force DELTAα RGB 16 GB,268.72,https://cdna.pcpartpicker.com/static/forever/images/product/2105c77ba6eee3f580108b61c4382458.256p.jpg,DDR5-6000,DDR5,2 x 8GB,16GB,12.667 ns,38,£16.795,Black,5
G.Skill Trident Z5 RGB 32 GB,470.99,https://cdna.pcpartpicker.com/static/forever/images/product/e8d573bd2eac864d427645f0d2f7cad8.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,12 ns,36,£14.718,Black,4.5
Patriot Signature Line 16 GB,239.02,https://cdna.pcpartpicker.com/static/forever/images/product/651c160abbb0b69ba892fa7b7909c9a0.256p.jpg,DDR5-4800,DDR5,1 x 16GB,16GB,16.667 ns,40,£14.939,Black,4
Crucial CT16G4DFD824A 16 GB,113.55,https://cdna.pcpartpicker.com/static/forever/images/product/14d1ef191cd112cca0bd652dc5a671f7.256p.jpg,DDR4-2400,DDR4,1 x 16GB,16GB,14.167 ns,17,£7.097,Green / Black,5
Silicon Power XPOWER Zenith RGB Gaming 32 GB,358.97,,DDR5-6000,DDR5,2 x 16GB,32GB,10 ns,30,£11.218,Black,5
Silicon Power SP008GBLVU480G02 8 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/78b9b7b9d6d6093a6914c71c62696dfc.256p.jpg,DDR5-4800,DDR5,1 x 8GB,8GB,16.667 ns,40,,,0
G.Skill Trident Z RGB 32 GB,264.1,https://cdna.pcpartpicker.com/static/forever/images/product/67c83cfd051636aaa95e8b00b6e95d6e.256p.jpg,DDR4-3600,DDR4,2 x 16GB,32GB,10 ns,18,£8.253,Black,4.5
G.Skill Flare X5 64 GB,1192.49,https://cdna.pcpartpicker.com/static/forever/images/product/f7d28bd70b14a7eaef6627ce7ecc3fd6.256p.jpg,DDR5-6000,DDR5,2 x 32GB,64GB,10 ns,30,£18.633,Black,4.5
Crucial CT2K16G4DFD8266 32 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/e5a9ecd24f99440929348d333b1b7396.256p.jpg,DDR4-2666,DDR4,2 x 16GB,32GB,14.254 ns,19,,Green / Black,4.5
Crucial CT16G48C40U5 16 GB,206.16,https://cdna.pcpartpicker.com/static/forever/images/product/1c689a15a147abb3f1f1a6f4d05a43c2.256p.jpg,DDR5-4800,DDR5,1 x 16GB,16GB,16.667 ns,40,£12.885,Black,5
G.Skill Aegis 16 GB,128.43,https://cdna.pcpartpicker.com/static/forever/images/product/9e003e10740c0e04136649de59fa2ab5.256p.jpg,DDR4-3200,DDR4,2 x 8GB,16GB,10 ns,16,£8.027,Red / Black,4.5
ADATA XPG Lancer Blade 32 GB,329.99,https://cdna.pcpartpicker.com/static/forever/images/product/10a5677b659528f5ae3c9998927e1449.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,16 ns,48,£10.312,Black,0
Silicon Power XPOWER Storm RGB 32 GB,328.97,https://cdna.pcpartpicker.com/static/forever/images/product/533b885c5e05f0d6f28160d0d2b08e32.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,12 ns,36,£10.280,White,0
Corsair Dominator Titanium 64 GB,1233.99,https://cdna.pcpartpicker.com/static/forever/images/product/d031b41e8948f8b9499ec37c6b33bd91.256p.jpg,DDR5-6000,DDR5,2 x 32GB,64GB,10 ns,30,£19.281,White,4.5
TEAMGROUP T-Force Vulcan 32 GB,398.35,https://cdna.pcpartpicker.com/static/forever/images/product/8f763d8e5758e6d2ba8b66dae365bee7.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,12.667 ns,38,£12.448,Black,4
Crucial Pro 64 GB,662.58,https://cdna.pcpartpicker.com/static/forever/images/product/332fe880e8def29585f15f72927e21a2.256p.jpg,DDR5-6000,DDR5,2 x 32GB,64GB,13.333 ns,40,£10.353,Black,4.5
G.Skill Flare X5 128 GB,4267.39,,DDR5-6000,DDR5,2 x 64GB,128GB,10.667 ns,32,£33.339,Black,0
Kingston KCP426NS6/4 4 GB,62.61,https://cdna.pcpartpicker.com/static/forever/images/product/4d3423cc1bd397634b9121f6b21bd8d3.256p.jpg,DDR4-2666,DDR4,1 x 4GB,4GB,14.254 ns,19,£15.652,Green / Black,0
Klevv FIT V 32 GB,399.95,https://cdna.pcpartpicker.com/static/forever/images/product/34f044688a166ced1540be78aa908b8e.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,9.333 ns,28,£12.498,Black,5
Lexar THOR OC 32 GB,931.43,,DDR5-6000,DDR5,2 x 16GB,32GB,10.667 ns,32,£29.107,Black / Gold,4.5
Corsair Vengeance RGB 192 GB,2643.99,https://cdna.pcpartpicker.com/static/forever/images/product/fad60fde2b96ce5d811577195e0fe5d3.256p.jpg,DDR5-5200,DDR5,4 x 48GB,192GB,14.615 ns,38,£13.771,Black,0
G.Skill Trident Z5 Royal Neo RGB 32 GB,654.54,https://cdna.pcpartpicker.com/static/forever/images/product/297a1bced0fdc057482d491aed331bc2.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,9.333 ns,28,£20.454,Silver,4.5
G.Skill Ripjaws S5 32 GB,500.74,https://cdna.pcpartpicker.com/static/forever/images/product/24d251679c92dd15d250e400ea873727.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,12 ns,36,£15.648,Black,4.5
Kingston FURY Beast 64 GB,829.99,https://cdna.pcpartpicker.com/static/forever/images/product/ba87b0c925c292d22dca488e2296d258.256p.jpg,DDR5-6000,DDR5,2 x 32GB,64GB,10 ns,30,£12.969,Black,4.5
Corsair Vengeance 128 GB,1805.74,https://cdna.pcpartpicker.com/static/forever/images/product/430bd0c0e205970df01f262dcc3ed9fa.256p.jpg,DDR5-6400,DDR5,2 x 64GB,128GB,13.125 ns,42,£14.107,Black,4.5
PNY XLR8 16 GB,194.96,https://cdna.pcpartpicker.com/static/forever/images/product/adb3cb3122e098630f47233e085ba4ae.256p.jpg,DDR4-3600,DDR4,2 x 8GB,16GB,10 ns,18,£12.185,Black,0
G.Skill Ripjaws V 128 GB,3617.99,https://cdna.pcpartpicker.com/static/forever/images/product/89d9d50f4d6ef3b8c9ec4c4a659c24a8.256p.jpg,DDR4-3600,DDR4,4 x 32GB,128GB,10 ns,18,£28.266,Black,0
Patriot Viper Venom RGB 16 GB,224.25,,DDR5-5600,DDR5,1 x 16GB,16GB,12.857 ns,36,£14.016,Black / White,0
ADATA XPG LANCER RGB 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/ca49b15a1b7365dbdd804d6f63ef50f1.256p.jpg,DDR5-6000,DDR5,1 x 16GB,16GB,10 ns,30,,Black,0
G.Skill Trident Z Royal 256 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/17ca83a57ea83585c26e1338e05c4a9d.256p.jpg,DDR4-3600,DDR4,8 x 32GB,256GB,10 ns,18,,Silver,4
G.Skill F4-3200C16Q2-128GTZSK 128 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/05df1788f646cbe25a22058d136bcc8b.256p.jpg,DDR4-3200,DDR4,8 x 16GB,128GB,10 ns,16,,Gray / Black,0
Crucial CT8G4DFS824A 8 GB,71.5,https://cdna.pcpartpicker.com/static/forever/images/product/a6e59e45a1d663e7daa43f2eb72c9b2b.256p.jpg,DDR4-2400,DDR4,1 x 8GB,8GB,14.167 ns,17,£8.938,Green,4.5
Corsair Vengeance 96 GB,1294.99,https://cdna.pcpartpicker.com/static/forever/images/product/c8c550b5d013b34d3aa138781624bd7b.256p.jpg,DDR5-5600,DDR5,4 x 24GB,96GB,14.286 ns,40,£13.489,Black / Silver,5
Kingston FURY 32 GB,419.26,https://cdna.pcpartpicker.com/static/forever/images/product/2ed5b9381e57e440ea8756d8f185827e.256p.jpg,DDR5-5600,DDR5,2 x 16GB,32GB,14.286 ns,40,£13.102,White,0
PNY Performance 32 GB,369.59,https://cdna.pcpartpicker.com/static/forever/images/product/54055701592153ca9603465917d604b9.256p.jpg,DDR5-5600,DDR5,2 x 16GB,32GB,16.429 ns,46,£11.550,Black,0
TEAMGROUP Vulcan Z 16 GB,175,https://cdna.pcpartpicker.com/static/forever/images/product/91c32e3300ee43e4f4c657d27e0d2a9b.256p.jpg,DDR4-3600,DDR4,2 x 8GB,16GB,10 ns,18,£10.938,Black,4.5
G.Skill Aegis 32 GB,236.99,https://cdna.pcpartpicker.com/static/forever/images/product/9e003e10740c0e04136649de59fa2ab5.256p.jpg,DDR4-3200,DDR4,2 x 16GB,32GB,10 ns,16,£7.406,Red / Black,4.5
Corsair Vengeance LPX 8 GB,82.99,https://cdna.pcpartpicker.com/static/forever/images/product/ef1c9d46308283f227a0ba51e4179ff1.256p.jpg,DDR4-2400,DDR4,1 x 8GB,8GB,13.333 ns,16,£10.374,Black / Yellow,4.5
TEAMGROUP T-Force Vulcan Z 32 GB,248.65,https://cdna.pcpartpicker.com/static/forever/images/product/5adb8089a7ff5f322bc5dea023e93d31.256p.jpg,DDR4-3200,DDR4,2 x 16GB,32GB,10 ns,16,£7.770,Gray,4.5
G.Skill Trident Z5 RGB 64 GB,899.99,https://cdna.pcpartpicker.com/static/forever/images/product/e5d0d71b07fa16cc1ac7eb3c676a7831.256p.jpg,DDR5-6400,DDR5,2 x 32GB,64GB,10 ns,32,£14.062,Black / Silver,4.5
TEAMGROUP T-Force Vulcan Eco 32 GB,409.07,https://cdna.pcpartpicker.com/static/forever/images/product/ab508346b2673409c7cd2d8b81c9f1df.256p.jpg,DDR5-6400,DDR5,2 x 16GB,32GB,11.875 ns,38,£12.783,Silver,0
Kingston HyperX Fury 16 GB,169.99,https://cdna.pcpartpicker.com/static/forever/images/product/253be8362d567f55b4ce7672e42a6cb2.256p.jpg,DDR4-3200,DDR4,2 x 8GB,16GB,10 ns,16,£10.624,Black / Silver,4.5
Silicon Power SP016GBLFU320X02 16 GB,133.69,,DDR4-3200,DDR4,1 x 16GB,16GB,13.75 ns,22,£8.356,,0
Silicon Power XPOWER Zenith Gaming 64 GB,738.97,,DDR5-6000,DDR5,2 x 32GB,64GB,10 ns,30,£11.546,Black,5
G.Skill Ripjaws S5 128 GB,3306.34,https://cdna.pcpartpicker.com/static/forever/images/product/107e3531397bca82e40c636bf5856e1c.256p.jpg,DDR5-6400,DDR5,2 x 64GB,128GB,11.25 ns,36,£25.831,Black,0
G.Skill Trident Z5 Neo 128 GB,3189.29,,DDR5-6000,DDR5,2 x 64GB,128GB,11.333 ns,34,£24.916,Black,0
Silicon Power XPOWER Pulse Gaming 64 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/9c5f6b4a7b6600310e8a6e57c5ba15f9.256p.jpg,DDR5-6000,DDR5,2 x 32GB,64GB,10 ns,30,,Black / White,5
Crucial Pro Overclocking 16 GB,215.47,https://cdna.pcpartpicker.com/static/forever/images/product/f8f8823490aa90aba53773c6912d49d5.256p.jpg,DDR5-6000,DDR5,1 x 16GB,16GB,12 ns,36,£13.467,Black,0
G.Skill Trident Z5 Royal Neo 64 GB,2104.15,https://cdna.pcpartpicker.com/static/forever/images/product/0a81c3f7ad36c48aa8fcf1c0fb318b65.256p.jpg,DDR5-6000,DDR5,2 x 32GB,64GB,8.667 ns,26,£32.877,Silver,0
G.Skill Trident Z5 RGB 48 GB,964.39,https://cdna.pcpartpicker.com/static/forever/images/product/74ca8bc876958ab560190cae0f349c69.256p.jpg,DDR5-8400,DDR5,2 x 24GB,48GB,9.524 ns,40,£20.091,Black,4
G.Skill Trident Z5 Royal Neo RGB 96 GB,1758.46,https://cdna.pcpartpicker.com/static/forever/images/product/5304708a61ad50f018db5b8713a982fb.256p.jpg,DDR5-6000,DDR5,2 x 48GB,96GB,9.333 ns,28,£18.317,Silver,5
Silicon Power XPOWER Turbine 16 GB,124.99,https://cdna.pcpartpicker.com/static/forever/images/product/3480c4aef651ddb7b25bd3ac1cab1d31.256p.jpg,DDR4-3200,DDR4,2 x 8GB,16GB,10 ns,16,£7.812,Blue,4.5
Corsair Dominator Titanium 32 GB,558.84,https://cdna.pcpartpicker.com/static/forever/images/product/d031b41e8948f8b9499ec37c6b33bd91.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,10 ns,30,£17.464,White,4.5
ADATA XPG Lancer Blade 16 GB,179.99,https://cdna.pcpartpicker.com/static/forever/images/product/9f7b50aa9855f4e7b13310214aea83f5.256p.jpg,DDR5-6000,DDR5,1 x 16GB,16GB,16 ns,48,£11.249,Black,0
Crucial CT16G56C46U5 16 GB,206.66,https://cdna.pcpartpicker.com/static/forever/images/product/4dd4838a52e81eaa083a4603f673499a.256p.jpg,DDR5-5600,DDR5,1 x 16GB,16GB,16.429 ns,46,£12.916,Black,5
Kingston FURY Beast RGB 64 GB,839.99,https://cdna.pcpartpicker.com/static/forever/images/product/54ddbd8a23594ec6f8f120d748c9e559.256p.jpg,DDR5-6000,DDR5,2 x 32GB,64GB,10 ns,30,£13.125,Black,4.5
Lexar THOR 16 GB,150.31,,DDR4-3200,DDR4,2 x 8GB,16GB,10 ns,16,£9.394,Black,5
Silicon Power XPOWER Zenith RGB Gaming 64 GB,748.97,,DDR5-6000,DDR5,2 x 32GB,64GB,10 ns,30,£11.703,White,5
ADATA XPG LANCER RGB 32 GB,420.85,https://cdna.pcpartpicker.com/static/forever/images/product/fa1c163ebb57782d902e577098956cbc.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,10 ns,30,£13.152,Black,5
Timetec PINNACLE Konduit 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/35e8ef017a78a1e078ac41ce6d804b56.256p.jpg,DDR4-3200,DDR4,2 x 8GB,16GB,10 ns,16,,White,4.5
Supermicro MEM-DR412L-SL02-LR26 128 GB,,,DDR4-2666,DDR4,1 x 128GB,128GB,16.504 ns,22,,Green / Black,0
Patriot Viper Elite 5 RGB 32 GB,416.27,https://cdna.pcpartpicker.com/static/forever/images/product/07e852f84747fa0157ba04f506cb22a7.256p.jpg,DDR5-5600,DDR5,1 x 32GB,32GB,13.571 ns,38,£13.008,White,5
G.Skill Aegis 8 GB,73.32,https://cdna.pcpartpicker.com/static/forever/images/product/0c5fcc123c2057de8a39584676b0e780.256p.jpg,DDR4-3200,DDR4,1 x 8GB,8GB,10 ns,16,£9.165,Red / Black,3.5
GOODRAM IRDM 32 GB,423.29,https://cdna.pcpartpicker.com/static/forever/images/product/7f820409638a1b59d7000ae99ee746af.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,10 ns,30,£13.228,Black,0
Klevv CRAS V RGB 32 GB,399.95,https://cdna.pcpartpicker.com/static/forever/images/product/402978d865d4caba78f29e7554f0f725.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,10 ns,30,£12.498,White,4
Patriot Viper Venom RGB 32 GB,379.99,https://cdna.pcpartpicker.com/static/forever/images/product/019861a658c73749dbf8130515d30ae1.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,12 ns,36,£11.875,Black / White,0
G.Skill Trident Z Neo 32 GB,264.1,https://cdna.pcpartpicker.com/static/forever/images/product/20348ef9eb7ca86600eefb50c6a56597.256p.jpg,DDR4-3600,DDR4,2 x 16GB,32GB,8.889 ns,16,£8.253,Black / Silver,4.5
Klevv BOLT V 32 GB,442.79,https://cdna.pcpartpicker.com/static/forever/images/product/1a1f01873377b133292960ef6b7c842d.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,10 ns,30,£13.837,White,0
V-Color TRA564G60D436O 512 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/3fdf6b615de56a9f7dc76fb82b2ce5cc.256p.jpg,DDR5-6000,DDR5,8 x 64GB,512GB,12 ns,36,,Black,0
ADATA XPG SPECTRIX D35G RGB 16 GB,118.99,https://cdna.pcpartpicker.com/static/forever/images/product/7c5916f0d8cf1f5c899afd4a4660c24b.256p.jpg,DDR4-3200,DDR4,2 x 8GB,16GB,10 ns,16,£7.437,Black,0
G.Skill Trident Z5 Royal Neo RGB 64 GB,1415.66,https://cdna.pcpartpicker.com/static/forever/images/product/5b9e0d994655f13f9392b5c156af24f2.256p.jpg,DDR5-6000,DDR5,2 x 32GB,64GB,10 ns,30,£22.120,Silver,4.5
G.Skill Flare X5 256 GB,6292.92,,DDR5-6000,DDR5,4 x 64GB,256GB,12 ns,36,£24.582,Black,0
Crucial CP2K64G56C46U5 128 GB,1799.99,https://cdna.pcpartpicker.com/static/forever/images/product/b42146c88ed343fce3e6f94ba345b483.256p.jpg,DDR5-5600,DDR5,2 x 64GB,128GB,16.429 ns,46,£14.062,Black,5
OLOy MD4U083016BJDA 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/ae076b653790230e95e014df9aadbdff.256p.jpg,DDR4-3000,DDR4,2 x 8GB,16GB,10.667 ns,16,,Black,4
Corsair Vengeance LPX 64 GB,598.89,https://cdna.pcpartpicker.com/static/forever/images/product/ef76582ad70db194abfb960a5e7d6add.256p.jpg,DDR4-3200,DDR4,2 x 32GB,64GB,10 ns,16,£9.358,Black / Yellow,4.5
Crucial CT8G4DFD8213 8 GB,59.95,https://cdna.pcpartpicker.com/static/forever/images/product/34f8bd1be5ca545584834c6c46903742.256p.jpg,DDR4-2133,DDR4,1 x 8GB,8GB,14.065 ns,15,£7.494,Black / Green,4.5
Silicon Power SP008GBLFU320X02 8 GB,71.45,,DDR4-3200,DDR4,1 x 8GB,8GB,13.75 ns,22,£8.931,,0
PNY Performance 16 GB,874.96,https://cdna.pcpartpicker.com/static/forever/images/product/12f9bd2996131e8704afe0c1fff7a6ed.256p.jpg,DDR5-4800,DDR5,1 x 16GB,16GB,16.667 ns,40,£54.685,Black,0
G.Skill Trident Z Neo 64 GB,1027.01,https://cdna.pcpartpicker.com/static/forever/images/product/201c8ce58b34c9237b7d70957ce3f43b.256p.jpg,DDR4-3200,DDR4,2 x 32GB,64GB,10 ns,16,£16.047,Black / Silver,5
Corsair Dominator Platinum RGB 32 GB,489.99,https://cdna.pcpartpicker.com/static/forever/images/product/be0568b56876b300beb156f35d30a8d2.256p.jpg,DDR5-5200,DDR5,2 x 16GB,32GB,15.385 ns,40,£15.312,Gray / Black,0
